Feature,TP,FP,TN,FN,Info Gain,CART Phi,p value,Chi Squared,Accuracy,Sensitivity,Specificity,Precison,Recall,F-Measure
ZNF208,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF229,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
ZNF23,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
ZNF252P,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF253,1,6,265,107,0.186173125,0.010498395,0.678273887,0.675857326,0.701846966,0.009259259,0.977859779,0.142857143,0.009259259,0.017391304
ZNF271,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
ZNF273,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
ZNF280C,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
ZNF285,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF322,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF331,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF334,1,7,264,107,0.186920589,0.013505893,0.44879899,0.537081538,0.699208443,0.009259259,0.974169742,0.125,0.009259259,0.017241379
ZNF347,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF354B,1,6,265,107,0.186173125,0.010498395,0.678273887,0.675857326,0.701846966,0.009259259,0.977859779,0.142857143,0.009259259,0.017391304
ZNF354C,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF367,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF383,1,5,266,107,0.185521531,0.007490897,0.67896244,0.848343971,0.704485488,0.009259259,0.981549815,0.166666667,0.009259259,0.01754386
ZNF395,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF396,1,6,265,107,0.186173125,0.010498395,0.678273887,0.675857326,0.701846966,0.009259259,0.977859779,0.142857143,0.009259259,0.017391304
ZNF397,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF41,1,5,266,107,0.185521531,0.007490897,0.67896244,0.848343971,0.704485488,0.009259259,0.981549815,0.166666667,0.009259259,0.01754386
ZNF420,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF429,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
ZNF433,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF438,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF441,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF443,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
ZNF471,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF483,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF485,1,7,264,107,0.186920589,0.013505893,0.44879899,0.537081538,0.699208443,0.009259259,0.974169742,0.125,0.009259259,0.017241379
ZNF493,1,5,266,107,0.185521531,0.007490897,0.67896244,0.848343971,0.704485488,0.009259259,0.981549815,0.166666667,0.009259259,0.01754386
ZNF507,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF525,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
ZNF527,1,7,264,107,0.186920589,0.013505893,0.44879899,0.537081538,0.699208443,0.009259259,0.974169742,0.125,0.009259259,0.017241379
ZNF528,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF532,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF534,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
ZNF546,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
ZNF557,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
ZNF558,1,6,265,107,0.186173125,0.010498395,0.678273887,0.675857326,0.701846966,0.009259259,0.977859779,0.142857143,0.009259259,0.017391304
ZNF559,1,5,266,107,0.185521531,0.007490897,0.67896244,0.848343971,0.704485488,0.009259259,0.981549815,0.166666667,0.009259259,0.01754386
ZNF573,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
ZNF585A,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
ZNF586,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF599,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF610,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
ZNF611,1,6,265,107,0.186173125,0.010498395,0.678273887,0.675857326,0.701846966,0.009259259,0.977859779,0.142857143,0.009259259,0.017391304
ZNF622,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
ZNF638,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF648,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
ZNF662,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
ZNF668,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF679,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
ZNF691,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF701,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF702P,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF708,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF713,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
ZNF71,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF736,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF738,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF763,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF76,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
ZNF789,1,5,266,107,0.185521531,0.007490897,0.67896244,0.848343971,0.704485488,0.009259259,0.981549815,0.166666667,0.009259259,0.01754386
ZNF790,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
ZNF799,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
ZNF804A,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
ZNF804B,1,1,270,107,0.18541989,0.004539094,0.489257444,0.91255176,0.715039578,0.009259259,0.996309963,0.5,0.009259259,0.018181818
ZNF841,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZNF844,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
ZNF850,1,7,264,107,0.186920589,0.013505893,0.44879899,0.537081538,0.699208443,0.009259259,0.974169742,0.125,0.009259259,0.017241379
ZNF92,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
ZNF98,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
ZNHIT6,1,4,267,107,0.185003117,0.0044834,1,0.940216653,0.707124011,0.009259259,0.985239852,0.2,0.009259259,0.017699115
ZRANB2,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZRANB3,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZSCAN5A,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
ZSCAN9,1,2,269,107,0.184700833,0.001531596,1,0.648596826,0.712401055,0.009259259,0.992619926,0.333333333,0.009259259,0.018018018
ZSWIM2,1,3,268,107,0.184684121,0.001475902,1,0.688375437,0.709762533,0.009259259,0.988929889,0.25,0.009259259,0.017857143
AARD,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ABCA10,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ABCA5,0,4,267,108,0.189776221,0.012029991,0.581294296,0.476150818,0.704485488,0,0.985239852,0,0,0
ABCD1,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ABCD2,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ABCF1,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ABCG1,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ABHD17A,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ABI1,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
AC138710.1,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ACAD10,0,5,266,108,0.191071289,0.015037489,0.327279503,0.356352078,0.701846966,0,0.981549815,0,0,0
ACMSD,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ACN9,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ACO1,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ACO2,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ACRC,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ACSL1,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ACSM1,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ACTBL2,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ACTC1,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ACTN2,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ACVR1B,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ACVR2B,0,4,267,108,0.189776221,0.012029991,0.581294296,0.476150818,0.704485488,0,0.985239852,0,0,0
ADAD1,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ADAD2,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ADAM21,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ADAM23,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ADAM32,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ADAM9,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ADAMTS12,0,5,266,108,0.191071289,0.015037489,0.327279503,0.356352078,0.701846966,0,0.981549815,0,0,0
ADAMTS14,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ADARB1,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ADCY10P1,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ADC,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ADH5,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ADH6,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ADORA2A,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ADRA2B,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
AFF2,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
AFF3,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
AGAP1,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
AGBL1,0,4,267,108,0.189776221,0.012029991,0.581294296,0.476150818,0.704485488,0,0.985239852,0,0,0
AGMO,0,4,267,108,0.189776221,0.012029991,0.581294296,0.476150818,0.704485488,0,0.985239852,0,0,0
AGPAT9,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
AGTPBP1,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
AHR,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
AK8,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
AKAP11,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
AKR1C1,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
AKT1,0,6,265,108,0.192370489,0.018044987,0.189221559,0.270074737,0.699208443,0,0.977859779,0,0,0
AKTIP,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
AL583828.1,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ALAS1,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ALB,0,10,261,108,0.197609152,0.030074979,0.068478143,0.095279304,0.688654354,0,0.963099631,0,0,0
ALDH6A1,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ALG11,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ALG1L,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ALG5,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ALOX5,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ANAPC10,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ANAPC1,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ANKDD1B,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ANKRD11,0,5,266,108,0.191071289,0.015037489,0.327279503,0.356352078,0.701846966,0,0.981549815,0,0,0
ANKRD12,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ANKRD26P1,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ANKRD27,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ANKRD33,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ANKRD36B,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ANKS1A,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ANO3,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ANXA10,0,4,267,108,0.189776221,0.012029991,0.581294296,0.476150818,0.704485488,0,0.985239852,0,0,0
ANXA5,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ANXA6,0,4,267,108,0.189776221,0.012029991,0.581294296,0.476150818,0.704485488,0,0.985239852,0,0,0
ANXA8L2,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
AOC3,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
AP4E1,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
APLP1,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
APP,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
AQP4,0,5,266,108,0.191071289,0.015037489,0.327279503,0.356352078,0.701846966,0,0.981549815,0,0,0
AQP7,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
AQP9,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ARAP2,0,4,267,108,0.189776221,0.012029991,0.581294296,0.476150818,0.704485488,0,0.985239852,0,0,0
AREL1,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ARHGAP11A,0,5,266,108,0.191071289,0.015037489,0.327279503,0.356352078,0.701846966,0,0.981549815,0,0,0
ARHGAP17,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ARHGAP21,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ARHGEF28,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ARID3B,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ARL3,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ARMC12,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ARMC2,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ARMC5,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ARMCX1,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ARMCX2,0,4,267,108,0.189776221,0.012029991,0.581294296,0.476150818,0.704485488,0,0.985239852,0,0,0
ARMCX3,0,4,267,108,0.189776221,0.012029991,0.581294296,0.476150818,0.704485488,0,0.985239852,0,0,0
ARNTL2,0,4,267,108,0.189776221,0.012029991,0.581294296,0.476150818,0.704485488,0,0.985239852,0,0,0
ARSE,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ARSH,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ASB14,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ASB9,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ASPH,0,5,266,108,0.191071289,0.015037489,0.327279503,0.356352078,0.701846966,0,0.981549815,0,0,0
ATG4C,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ATG5,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ATP1A1,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
ATP1B4,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ATP2C1,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ATP6AP1,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ATP8B5P,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
ATXN3L,0,5,266,108,0.191071289,0.015037489,0.327279503,0.356352078,0.701846966,0,0.981549815,0,0,0
ATXN7L3B,0,4,267,108,0.189776221,0.012029991,0.581294296,0.476150818,0.704485488,0,0.985239852,0,0,0
AUTS2,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
AVPR2,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
AXDND1,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
B3GAT2,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
B3GNT2,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
B3GNT7,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
B4GALT4,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
BAI3,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
BAZ1A,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
BBS9,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
BCAM,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
BCL6,0,4,267,108,0.189776221,0.012029991,0.581294296,0.476150818,0.704485488,0,0.985239852,0,0,0
BCS1L,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
BFSP1,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
BMPER,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
BMX,0,5,266,108,0.191071289,0.015037489,0.327279503,0.356352078,0.701846966,0,0.981549815,0,0,0
BOC,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
BPIFB1,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
BRIX1,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
BRS3,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
BSPH1,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
BTG1,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
BUB3,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
BUD31,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
BVES,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
C11orf63,0,5,266,108,0.191071289,0.015037489,0.327279503,0.356352078,0.701846966,0,0.981549815,0,0,0
C11orf74,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
C12orf39,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
C12orf42,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
C13orf35,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
C15orf38-AP3S2,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
C15orf59,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
C16orf62,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
C17orf98,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
C1orf101,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
C1orf131,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
C1orf173,0,3,268,108,0.18848526,0.009022494,0.561059448,0.648596826,0.707124011,0,0.988929889,0,0,0
C1orf174,0,2,269,108,0.187198378,0.006014996,1,0.91255176,0.709762533,0,0.992619926,0,0,0
