Feature,TP,FP,TN,FN,Info Gain,CART Phi,p value,Chi Squared,Accuracy,Sensitivity,Specificity,Precison,Recall,F-Measure
KIAA0232,4,0,271,104,0.203956846,0.030186367,0.006333481,0.008583897,0.725593668,0.037037037,1,1,0.037037037,0.071428571
KIAA0930,4,3,268,104,0.18948688,0.021163874,0.105343079,0.203299103,0.7176781,0.037037037,0.988929889,0.571428571,0.037037037,0.069565217
KIAA1211,4,4,267,104,0.18782572,0.018156376,0.231749986,0.334015527,0.715039578,0.037037037,0.985239852,0.5,0.037037037,0.068965517
KIF14,4,4,267,104,0.18782572,0.018156376,0.231749986,0.334015527,0.715039578,0.037037037,0.985239852,0.5,0.037037037,0.068965517
KRT28,4,0,271,104,0.203956846,0.030186367,0.006333481,0.008583897,0.725593668,0.037037037,1,1,0.037037037,0.071428571
KSR1,4,3,268,104,0.18948688,0.021163874,0.105343079,0.203299103,0.7176781,0.037037037,0.988929889,0.571428571,0.037037037,0.069565217
KSR2,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
LPAR3,4,0,271,104,0.203956846,0.030186367,0.006333481,0.008583897,0.725593668,0.037037037,1,1,0.037037037,0.071428571
LRCH2,4,6,265,104,0.185827555,0.01214138,0.479751231,0.644245422,0.709762533,0.037037037,0.977859779,0.4,0.037037037,0.06779661
LSM11,4,0,271,104,0.203956846,0.030186367,0.006333481,0.008583897,0.725593668,0.037037037,1,1,0.037037037,0.071428571
3-Mar,4,0,271,104,0.203956846,0.030186367,0.006333481,0.008583897,0.725593668,0.037037037,1,1,0.037037037,0.071428571
MATR3,4,0,271,104,0.203956846,0.030186367,0.006333481,0.008583897,0.725593668,0.037037037,1,1,0.037037037,0.071428571
MAX,4,1,270,104,0.195671086,0.02717887,0.024641465,0.038483302,0.722955145,0.037037037,0.996309963,0.8,0.037037037,0.07079646
MEGF8,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
MEGF9,4,4,267,104,0.18782572,0.018156376,0.231749986,0.334015527,0.715039578,0.037037037,0.985239852,0.5,0.037037037,0.068965517
METTL2A,4,1,270,104,0.195671086,0.02717887,0.024641465,0.038483302,0.722955145,0.037037037,0.996309963,0.8,0.037037037,0.07079646
MGA,4,3,268,104,0.18948688,0.021163874,0.105343079,0.203299103,0.7176781,0.037037037,0.988929889,0.571428571,0.037037037,0.069565217
MITF,4,2,269,104,0.191899817,0.024171372,0.057683948,0.102661487,0.720316623,0.037037037,0.992619926,0.666666667,0.037037037,0.070175439
MKI67,4,6,265,104,0.185827555,0.01214138,0.479751231,0.644245422,0.709762533,0.037037037,0.977859779,0.4,0.037037037,0.06779661
